The Downtown

d100 Downtown
1-2    Pharmacy
13-14  Uzbek
15-16  American
17-18  Chinese
19-20  German
21-22  Dutch
23-24  Mexican
25-26  Scottish
27-28  Irish
29-30  Syrian
31-32  Ukrainian
33-34  Thai
35-36  Mongolian
37-38  Somali
39-40  Local
41-42  Saudi
43-44  Portuguese
45-46  Local
47-48  Innuit
49-50  Spanish
51-52  Turkish
53-54  Danish
55-56  Latvian
57-58  Romany
59-60  Greek
61-62  Local
63-64  Romanian
65-66  Finn
67-68  Flemish
69-70  Pakistani
71-72  Italian
73-74  Siberian
75-76  Local
77-78  Bulgarian
79-80  South African
81-82  Malay
83-84  Kenyan
85-86  Tibetan
87-88  Polish
89-90  Swedish
91-92  Hungarian
93-94  Congolese
95-96  Moldovan
97-98  Afghan
99-100 Kashmiri

d100   Conversation Topic
1-2    The state of the city
3-4    Big combat sports fan
5-6    Driverless vehicles
7-8    Gangs in the area
9-10   Their huge family
11-12  Extreme alt-politics
13-14  Their tricked out vehicle
15-16  The ecopocalypse
17-18  Conspiracy theories
19-20  Cod philosophy
21-22  Classic rock music
23-24  How connected they are
25-26  The erratic weather
27-28  Favourite TV shows
29-30  Cyberware brands
31-32  The recent/ongoing war
33-34  They used to be rich
35-36  Racist tirades
37-38  Corporate gossip (fake)
39-40  Kung-fu movies
41-42  Was once a surgeon
43-44  Their sexual conquests
45-46  Reality TV shows suck
47-48  Their deep dislike of AR
49-50  Their pet synthetic goat
51-52  Global politics
53-54  The spectre of terrorism
55-56  Hi-tech weaponry
57-58  Their many ex-partners
59-60  Their work on their PhD
61-62  Their missing daughter
63-64  Rampant crime
65-66  The latest VR games
67-68  Their favourite eateries
69-70  Info-Socialist revolution
71-72  Their aggressive cancer
73-74  Disdain for the police
75-76  Was once a pilot
77-78  Today's youth/drugs
79-80  The rich/poor divide
81-82  Desire to be an actor
83-84  The ethics of cloning
85-86  Endorses brands (paid)
87-88  Making own net show
89-90  Pushing PCs for a job
91-92  The welfare system
93-94  Getting out the business
95-96  Extreme sex SimStims
97-98  State of their slum-cube
99-100 How they live in the cab

d100   Demeanour
1-2    Friendly/helpful
3-4    Aggressive
5-6    Detached/Bored
7-8    Robotic
9-10   Overly Cautious
11-12  Humorous
13-14  Inquisitive/Nosy
15-16  Drunk/Stoned
17-18  Uncommunicative
19-20  Extremely Positive
21-22  Surly
23-24  Lecherous
25-26  Servile
27-28  Superstitious
29-30  Abrupt
31-32  Devout/religious
33-34  Boastful
35-36  Flamboyant
37-38  Careless/Clumsy
39-40  Suicidal
41-42  Distracted
43-44  Cynical
45-46  Has Tourettes
47-48  Argumentative
49-50  Unpredictable
51-52  Nervous
53-54  Ashamed
55-56  Charming
57-58  Incoherent
59-60  Noisy/Interrupts
61-62  1000 Yard Stare
63-64  Ambitious
65-66  Calm
67-68  Arrogant
69-70  Grumpy
71-72  Law Abiding
73-74  Depressive
75-76  Sensible
77-78  Greedy
79-80  Respectful
81-82  Volatile/Touchy
83-84  Judgemental
85-86  Vulgar/rude
87-88  Furtive
89-90  Patronising
91-92  Foolish/Stupid
93-94  Grateful
95-96  Lonely
97-98  Tuneful/Musical
99-100 Naive

What's Their Poison

d10 Peccadilloes, Vices, Addictions
1  Child-like Sex Dolls or Synthetics
2  Prohibited Designer Narcotics
3  Street legal, But harmful - Alcohol/Caffeine/Nicotine
4  SimStim/SimSense/VR Gaming
5  Atrocity Images or Footage
6  Prostitutes (Secretly Same Sex?) (see Street Walkers)
7  Pornographic Material (Particular Acts or Fetish?)
8  Bizarre Fetish Wear or Activity
9  Pain/Sexual Violence (Towards Self or Others)
10 Abuses Synthetic (or Real) Animals

d10 Level of Need
1  Take It Or Leave It
2  Light Interest
3  Ghoulish Fascination
4  If The Opportunity Arises
5  Regular Routine User
6  Intrinsic To Personality
7  Only To Destress
8  Needed To Function
9  Unhealthy Obsession
10 All Consuming

So She Has A Tattoo

d10 What
1  Skulls/Bones
2  Roses/Flowers
3  Crossed Guns/Blades
4  Snake/reptile
5  Dragon/Mythical Beast
6  Animal/Predator
7  Nautical
8  Script/Message/Numbers
9  Geometric/Abstract
10 Technology/Circuitry

d10 Style
1  Mexican/Aztec
2  Pixilated/Computerised
3  Photorealistic Colour/Grey
4  Migratory/Animated
5  Oriental
6  Tribal
7  Rockabilly Punk
8  Solid Monotone Graphics
9  Neon Glow
10 Old School Blue Ink

d10 Where
1  Back/Shoulders
2  Bicep/Forearm
3  Hip/Groin
4  Face/Scalp
5  Stomach
6  Lower leg/Calf
7  Thigh
8  Ribs/Chest
9  Neck/Collar Bone
10 Buttock(s)

Street Walkers

d10 Sex Workers
1  Elegant Full Body Conversion, Aesthetically Pleasing
2  Augmented genitalia and tactile sensory upgrades
3  Lean, attractive, loaded with hallucinatory pheromones
4  Battered synthetic, needs repairs, garish vinyl clothing
5  All limbs replaced with double-jointed cybernetics
6  Illegally young, brash, dead eyed - nearby junkie pimp
7  Disabled exotic bioform, assisted by linear frame
8  Overweight, excessive make up, narcotic dependency
9  Old, has local knowledge, skilled, clean medical record
10 Neural cutouts, detached, implanted recorder suite

d10 Identifies as...
1  Gay Male
2  Cis Straight Female
3  Asexual
4  Adaptable (cybernetics)
5  Bisexual Female
6  Cis Straight Male
7  Gay Female
8  Bisexual Male
9  Pansexual Male
10 Pansexual Female

Corporate Aristocrats

d100    Given Name
1-2     Christian
3-4     Maria
5-6     Arkady
7-8     Olena
9-10    Asari
11-12   Oliver
13-14   Dominique
15-16   Edward
17-18   Tamara
19-20   Dr Narindar
21-22   Namiko
23-24   Logan
25-26   George
27-28   Adam
29-30   Victoria
31-32   James
33-34   Benjamin
35-36   Katsuto
37-38   William
39-40   Lewis
41-42   Armando
43-44   Victor
45-46   Abigail
47-48   Todd
49-50   Hannah
51-52   Catherine
53-54   Jean Paul
55-56   Peter
57-58   Mohana
59-60   Yi Xue
61-62   Fatima
63-64   Col. Charles
65-66   Paulo
67-68   Terence
69-70   Genevieve
71-72   Dr Cameron
73-74   Poppy
75-76   Isobella
77-78   Michelle
79-80   Wolfgang
81-82   Stephen
83-84   Adelle
85-86   Simon
87-88   Charlotte
89-90   Cordelia
91-92   Prof. Rachel
93-94   Marcus
95-96   Leonid
97-98   Rosaline
99-100  Ibrahim

d100    Family Name
1-2     Moretta
3-4     Moretta
5-6     Komarov
7-8     Komarov
9-10    Nwokolo
11-12   Young
13-14   Taylor-Lloyd
15-16   Huang
17-18   Preston
19-20   Malhotra
21-22   Ashworth
23-24   Ashworth
25-26   Kaufman
27-28   Hamilton
29-30   Hamilton
31-32   Arellano
33-34   Moore
35-36   Nakamura
37-38   Rochford
39-40   Norton
41-42   Cordova
43-44   Constantine
45-46   Constantine
47-48   Mcalister
49-50   Mcalister
51-52   Dubois
53-54   Dubois
55-56   Muller
57-58   Muller
59-60   Song
61-62   Rasheed
63-64   Weigel (Ret'd.)
65-66   Giovanni
67-68   Cook
69-70   Di Stefano
71-72   Di Stefano
73-74   Jacquet
75-76   Jacquet
77-78   Bachman
79-80   Bachman
81-82   Gaskell
83-84   Davis
85-86   Clark
87-88   Clark
89-90   Granger
91-92   Granger
93-94   Shepperton
95-96   Ortov
97-98   Williams
99-100  Al-Harmah

d100    Personal Details
1-2     Buys endangered species, and mutilates them
3-4     Drowns orphans in private swimming pool
5-6     Androids of dead loved ones, used as servants
7-8     Collects and catalogues DNA samples of rivals
9-10    She lacks confidence and is extremely paranoid
11-12   Compulsively records women while they sleep
13-14   Hurts herself under stress
15-16   Addicted to expensive synthetic opioids
17-18   Enjoys watching people die
19-20   Has a fondness for injured/disabled women
21-22   Desires the top job at all costs
23-24   Personal hacker collective headed by wayward nephew
25-26   Likes his women completely devoid of hair
27-28   Once a spy for an ecoterrorist commune
29-30   Literally afraid of being at street level
31-32   Enjoys the sound of people crying
33-34   Has a private army of desperate down-and-outs
35-36   Worships the net, as if it were a divine entity
37-38   Asexual
39-40   Despises the voices of all those around him
41-42   Derives pleasure from the fear of others
43-44   Has a paralyzing fear of the Biotech Division
45-46   Believes the board are hostile to her, afraid to leave
47-48   Under the influence of a rogue AI
49-50   Requires nutrient baths several times a day
51-52   Serial adulterer; compelled by faulty sex implant
53-54   Always tells the truth
55-56   Wants revenge on the CEO for unknown reasons
57-58   Overly reliant on complex prediction algorithms
59-60   Wants to die, but afraid of the afterlife
61-62   Seeks to dominate fixer networks for own ends
63-64   Haunted by digital ghosts of those he's had killed
65-66   A cosmetically altered double, living the dream
67-68   Born in 1952, but looks only 25 years old
69-70   Hates her implants; they make her feel sick
71-72   Blackmailed into submission by orbital clade
73-74   Secret second life as a high class callgirl
75-76   Wants to kill her twin sister and main rival
77-78   Surprisingly normal
79-80   Has 'precognitive' dreams manipulated by a hacker
81-82   Despises both daylight and bright artificial lighting
83-84   Only wears clothes made by the indentured poor
85-86   Closely monitors the children of business rivals
87-88   Desires the utter destruction of the city
89-90   A downlinked AI masquerading as human
91-92   Obsessed with obscure, expensive fashion
93-94   Believes the corporate elite are slaves to AIs
95-96   Blackmailing corporates for money and favours
97-98   Powerful intrusion software, but can't work it
99-100  Was in love with someone the PCs killed

d100    Job
1-2     Controls black tech imports
3-4     Bribes the staff of her rivals
5-6     Breeds biogenetic horrors
7-8     Finest art collection in city
9-10    Hoards 'occult' objects
11-12   Collector of antique technology
13-14   Owns swathes of farmplexes
15-16   Breeds & trains combat clones
17-18   Owns & operates sex resorts
19-20   Well regarded psychotherapist
21-22   Security extremely loyal to her
23-24   Owns assemblery districts
25-26   Expert in corporate law
27-28   Head of International retail
29-30   Old money aristocratic family
31-32   Health & Safety executive
33-34   Exceptionally skilled hacker
35-36   Head of Administration
37-38   Head of BioDivision R&D
39-40   Media Operations liaison
41-42   Monitors company AI stable
43-44   Current Chief executive Officer
45-46   Wife; controls access to CEO
47-48   Popular decadent socialite
49-50   Famous society tastemaker
51-52   Highly cosmetically enhanced
53-54   Importer of pharmaceuticals
55-56   Employs the finest chefs
57-58   Internal Security Director
59-60   Poached from major rival
61-62   Black Operations executive
63-64   Decorated combat veteran
65-66   Skilled investigator
67-68   Handsome economist
69-70   Award winning marketeer
71-72   CEO's Physician
73-74   Public relations executive
75-76   Human resources executive
77-78   Company Security operative
79-80   Oversees sales divisions
81-82   Funniest company employee
83-84   Uniformed Security Manager
85-86   CEO's Personal Assistant
87-88   Digital Security executive
89-90   Lovely child; society darling
91-92   Expert in cybernetic systems
93-94   Undervalued and overlooked
95-96   Universally feared
97-98   Resource management
99-100  Enhanced killer of some renown

d100    Appearance/Demeanour
1-2     Wears silk, furs and a monocle
3-4     Black eyes, red trouser suits
5-6     Short, bald, gruff, distracted
7-8     Alcoholic, odd yet attractive
9-10    Scarlett-haired, spiteful
11-12   One-eyed, uses an assist frame
13-14   Intense, passionate, green eyes
15-16   Crude, jocular, artificial jaw
17-18   Rotund, elegant, sarcastic
19-20   Obsequious, sharp intellect
21-22   Proud, pitiless, pale blue eyes
23-24   Mincing, meek, ruthless
25-26   Hairless, eager and awkward
27-28   Plodding, multi-lingual, talkative
29-30   Limp, opulent, over privileged
31-32   Furtive, argumentative, cynical
33-34   Old, decrepit, almost immobile
35-36   Chubby, ruddy, bespectacled
37-38   Tedious, wheedling, androgynous
39-40   Light, frivolous, ironic hipster
41-42   Dark haired, wears body armour
43-44   Weak voice, thin-fingered, cold
45-46   Highly strung, middle-aged, pale
47-48   Gracious, intelligent, seems kind
49-50   Touchy, easily riled, sharp style
51-52   Sentimental, fragile, wears white
53-54   Recounts outrageous stories
55-56   Nervous, sweaty, sloppy
57-58   Open, friendly, business-like
59-60   Brusque, aging, cunning, twisted
61-62   Loyal to CEO, quiet, unassuming
63-64   Grim, warlike, unbending, PTSD
65-66   Somber, patient, sympathetic
67-68   Greedy, lusty, barbaric and blunt
69-70   Understated, wears gloves, OCD
71-72   Bulging eyes, veiny, creepy
73-74   Jewel-covered fashionista, vain
75-76   Abrupt, impatient, germ phobia
77-78   Suspicious, excitable, hot temper
79-80   Wary, detached, thin, aged
81-82   Universally liked, fat, generous
83-84   Energetic, black humour, bored
85-86   Thin, wiry, long-nosed, stylish
87-88   White-haired, speaks in whispers
89-90   Radiant, innocent, foolish
91-92   Frivolous, envious, insecure
93-94   Bitter, scarred, suspicious
95-96   Exposes/frames enemies, fearless
97-98   Arrogant, devious, patronising
99-100  Dark-eyed, clever, religious

d100    Relationship
1-2     Married to...
3-4     Sleeps with...
5-6     Father of...
7-8     Rivalry with...
9-10    Student of...
11-12   Enamored of...
13-14   Worried about...
15-16   Works for...
17-18   Blackmailing...
19-20   Suspicious of...
21-22   Daughter of...
23-24   Schemes with...
25-26   Jealous of...
27-28   Married to...
29-30   Assaulted by...
31-32   Seeks aid of...
33-34   Served by...
35-36   Owes money to...
37-38   Insulted by...
39-40   Seeks service of...
41-42   Influence over...
43-44   Married to...
45-46   Enamored of...
47-48   Married to...
49-50   Will betray...
51-52   Married to...
53-54   Trusts only...
55-56   Married to...
57-58   Friend of...
59-60   Lusts after...
61-62   Rivalry with...
63-64   Trusts only...
65-66   Annoys...
67-68   Makes use of...
69-70   Married to...
71-72   Lusts after...
73-74   Twin sister of...
75-76   Seeks aid of...
77-78   Married to...
79-80   Only enjoys...
81-82   Irritates...
83-84   Friend of...
85-86   Son of...
87-88   Suspicious of...
89-90   Adopted by...
91-92   Worries about...
93-94   Seeks help of...
95-96   Curious about...
97-98   Manipulating...
99-100  Works for... (1-2)

The Games Corporates Play

d100 Boardroom Manoeuvres
1   Testing New Weapons
2   Deadly Waste Disposal
3   Engineered Pandemic
4   Snatching Transients
5   Manipulating Media
6   Bribing Politicians
7   Financial Manipulation
8   Land Grab
9   Tracking Consumers
10  Testing New Drugs
11  Altering Consumer Law
12  Manipulating Market
13  Stockpiling Medicines
14  Corrupting Technology
15  Targeting Rivals
16  Subliminal Advertising
17  Eliminate Flawed Stock
18  Rigging Safety Standards
19  Full Blown Civil War
20  Undermine Rival Brand
21  Offworld Banking Scam
22  Covering Up Insane AI
23  Testing New Bioware
24  Harvesting Organs
25  Management Cull
26  Buying Up Patents
27  Fixing Stock Levels
28  Interdepartment War
29  Enforcing Copyright
30  Creating Subsidiaries
31  Product Flaw Cover Up
32  New Product Launch
33  Department Merger
34  Brainwashing Key Figures
35  Abducting Street Kids
36  Adulterating The Water
37  Marketing Surveillance
38  Bid For Nation Status
39  Hostile Takeover
40  Arming Street Gangs
41  Targeting Undesirables
42  Collecting Biometrics
43  Testing New Synthetics
44  Quantum Net Launch
45  Buy Minor Nation State
46  Testing New Cyberware
47  Political Assassination
48  Blackmailing Scientists
49  Extract Rival Employee
50  Hire Hostile Hackers
51  Preparing To Defect
52  Looking For Own Cure
53  Hidden Warehouses
54  Channeling Funds
55  Designing Bio-Plague
56  Building Private Army
57  Covert Parallel Netsite
58  Cloning Self
59  Damaged Brand Salvage
60  Create False Charity
61  Assassinate Rivals
62  Adulterating Medicines
63  Engineered Promotion
64  Planning Rival's Exile
65  Being Head-Hunted
66  Faking Own Death
67  Lost Bioweapon
68  Cover Up Of Suicides
69  Internal Investigation
70  Automating Jobs
71  Creating A War
72  Buying Law Enforcers
73  Real-Estate Purchases
74  Phantom Accounting
75  Adulterating Foods
76  Manipulating Expenses
77  Doctoring Records
78  Wrecking Ecosystem
79  Targeting Employees
80  Creates Net Exploits
81  Purchasing Start-Ups
82  Eliminate R&D Failure
83  Supporting Coup
84  Covering Up Blackmail
85  Slashing Wages
86  Buying Bankers
87  Framing Rival(s)
88  Intimidate Reviewers
89  Wants To Be CEO
90  Bribes Oversight Group
91  Triggering Civil War
92  Funding Counterfeits
93  Doctoring Judicial Ais
94  Purchasing Hospitals
95  Controlling Alt-Media
96  Creating Monopoly
97  False Advertising
98  Cutting Job Roles
99  Will Destroy Company
100 Roll Twice

d100 Company Resources
1   Fixer Network
2   Bought City Officials
3   Naive Underlings
4   Foreign Head-Of-State
5   Compromised AI
6   Weaponised Insects
7   Net Smear Campaign
8   Dubious Security Team
9   Street Gang Alliance
10  Fringe Political Group
11  Corporate Ninjas
12  Compromised Comms
13  Mercenary Contractors
14  Surveillance Drones
15  Loyal Law Firm
16  Duped Actors
17  Independent Hit Team
18  Whistleblowers
19  Spiderform Cybershells
20  Son(s) or Daughter(s)
21  Covert Sales Network
22  Monitors Computers
23  Renowned Assassin
24  Unwitting Employees
25  Rival Corporation
26  Elite Agents
27  Foreign Strike Team
28  Pharmaceutical Company
29  Army Of Own Clones
30  Bioweapons Division
31  Arms Dealers
32  Petty Executive
33  Implanted Explosives
34  Support Of CEO
35  Sympathetic Media
36  Weaponised Homeless
37  Soulless Cyborg
38  Aggressive Hacker
39  Conned Legislators
40  Their Own Lover(s)
41  Company Audit Team
42  Designer Toxins
43  Sex Synthetics
44  Clueless Scientists
45  Seconded Security Team
46  Mafia Money
47  People Traffickers
48  Memetic Warfare Team
49  Augmented Animals
50  Combat Economists
51  Ambitious Courtiers
52  R&D Nanoweapons
53  City Law Enforcers
54  Company's Black Ops
55  Autonomous Software
56  Adulterated Chipware
57  Displaced War Veterans
58  Unethical Medtechs
59  Hacking Collective
60  Celebrity Stable
61  Criminal Syndicate
62  Junkie Relative
63  Hazardous Virtuals
64  Internal Investigators
65  Controlling Drug Supply
66  Social Warfare
67  Intimate Personal Data
68  Army Of Drug Dealers
69  Reassigned Agents
70  Ripperdoc Network
71  Private Bodyguards
72  Own Family Fortune
73  Tracking Nanites
74  Simstim Users
75  Image Consultants
76  Private Investigators
77  AI System Designer
78  Child Assassin
79  Propagandists
80  Blackmailed Hackers
81  PR Consultants
82  Desperate Employees
83  Federal Investigators
84  Religious Group
85  Synthetic Commandos
86  Corrupt Accountants
87  Deceived Online Fans
88  Compromised Implants
89  Seductive Concubine
90  Covert Vehicle Pool
91  Offworld Accounts
92  Hunter-Killer Drones
93  Elite Programmers
94  Intelligence Agency
95  Cheap Gunmen
96  Unstable Remotes
97  Creative Techies
98  Private Laboratory
99  Deceived Rival
100 Roll Twice

Urban Tribes: Street Gangs

d100 Name 1
1-2     Cortical
3-4     Subway
5-6     Radical
7-8     Binary
9-10    Fragile
11-12   Hate
13-14   Electric
15-16   Mobile
17-18   Endgame
19-20   Bubblegum
21-22   Biological
23-24   Shaolin
25-26   Chrome
27-28   Polymer
29-30   Rudeboy
31-32   Terminal
33-34   Shadow
35-36   Subsonic
37-38   Chemical
39-40   Chosen
41-42   Toxic
43-44   Steel
45-46   Waffen
47-48   Cannibal
49-50   Panzer
51-52   Gun
53-54   Disposable
55-56   Iron
57-58   Speedball
59-60   AK
61-62   Liquid
63-64   Junky
65-66   Instant
67-68   Zone
69-70   Sushi
71-72   Lucifer's
73-74   Remodelled
75-76   Faceless
77-78   Vampire
79-80   Crosstown
81-82   Aryan
83-84   Spirit
85-86   Nomad
87-88   Hydraulic
89-90   Fractal
91-92   Brain
93-94   Screaming
95-96   Lucid
97-98   Napalm
99-100  Happy

d100 Name 2
1-2     Dogs
3-4     Assassins
5-6     Dragons
7-8     Prophets
9-10    Machine
11-12   Society
13-14   Freaks
15-16   Girls
17-18   Militia
19-20   Atrocity
21-22   Impulse
23-24   Rippers
25-26   Savages
27-28   Riot
29-30   Apocalypse
31-32   Storm
33-34   Soldiers
35-36   Cult
37-38   Loas
39-40   Kidz
41-42   Ghosts
43-44   Church
45-46   Technicals
47-48   Clowns
49-50   Fists
51-52   Sharks
53-54   Boys
55-56   Maniacs
57-58   Ultimates
59-60   Legends
61-62   Killaz
63-64   Bullets
65-66   Revolvers
67-68   Bosses
69-70   Thugs
71-72   Babies
73-74   Army
75-76   Fanatics
77-78   Daddies
79-80   Chaos
81-82   Hammer
83-84   Method
85-86   Clan
87-88   Terror
89-90   State
91-92   Wasters
93-94   Shards
95-96   Moderns
97-98   Harvest
99-100  Losers

d100 Description 1
1-2     Neo-Primitive
3-4     Soft-Armoured
5-6     VR Game Playing
7-8     Neon-Punk
9-10    Drone Utilising
11-12   Patriarchal
13-14   Lan-Linked
15-16   Augment Heavy
17-18   Spike Covered
19-20   Ex-Convict
21-22   Biomodified
23-24   Blade Wielding
25-26   Body Modified
27-28   Gun Fetishist
29-30   Rastafarian
31-32   Simstim Rigged
33-34   Tech-Ninja
35-36   Mood Chipping
37-38   Voodoo Practicing
39-40   Chip-Hop Fan
41-42   Grime-Punk
43-44   Death Metal Fan
45-46   Skinhead
47-48   Blood Stained
49-50   Armour Plated
51-52   Couture Stealing
53-54   Military Surplus
55-56   Wow Inspired
57-58   Risk Taking
59-60   African-Tribal
61-62   Ultraviolent
63-64   Drug Dependent
65-66   War Painted
67-68   Rag Enshrouded
69-70   Buddha-Faced
71-72   Emo-Goth
73-74   Goggle Wearing
75-76   Androgynous
77-78   Blood Drinking
79-80   Road Armoured
81-82   Heavily Tattooed
83-84   Neo-Luddite
85-86   Goth-Punk
87-88   Industrial-Tech
89-90   Tech Savvy
91-92   Net Dependent
93-94   Radical
95-96   AR Manipulating
97-98   Afro-Haired
99-100  Neon-Raver

d100 Description 2
1-2     Wirehead
3-4     Nerve Boosted
5-6     Frame Assisted
7-8     Scavenger
9-10    Info-Socialist
11-12   Sports Fan
13-14   Sex Predator
15-16   All Female
17-18   Doom Cult
19-20   Cyberfetish
21-22   Brain Damaged
23-24   Skill Chipping
25-26   Scrap Tech
27-28   Dog-Faced
29-30   Racist
31-32   Media Savvy
33-34   Parkour
35-36   Alcoholic
37-38   Drug Cooking
39-40   Political
41-42   Tech-Junkie
43-44   Evangelical
45-46   übermensch
47-48   Juggalo
49-50   Cyborg
51-52   Psychotic
53-54   War Veteran
55-56   Armour Clad
57-58   Rich Kid
59-60   Drug Enhanced
61-62   Home Invading
63-64   Cannibal
65-66   Suicidal
67-68   Homeless
69-70   Steroid Using
71-72   Pseudo-Satanic
73-74   Militant
75-76   Mask Wearing
77-78   Asexual
79-80   Anarchist
81-82   Alt-Right
83-84   Religious
85-86   Peddle Biking
87-88   Psychotic
89-90   Eco-Socialist
91-92   Philosophical
93-94   Feminist
95-96   Political
97-98   Multi-Optic
99-100  Anti-Corporate

d100 Description 3
1-2     Combat Gang
3-4     Skaters
5-6     Martial Artists
7-8     Tech-Jackers
9-10    Party Artistes
11-12   Street Fighters
13-14   Wireheads
15-16   Go-Gang
17-18   Boosters
19-20   Combat Gang
21-22   Boosters
23-24   Martial Artists
25-26   Chromers
27-28   Boosters
29-30   Combat Gang
31-32   Chromers
33-34   Combat Gang
35-36   Party Artistes
37-38   Cultists
39-40   Combat Gang
41-42   Boosters
43-44   Chromers
45-46   Moto-Cultists
47-48   Pranksters
49-50   Street Fighters
51-52   Street Kids
53-54   Nihilists
55-56   Chromers
57-58   Skaters
59-60   Guardians
61-62   Boosters
63-64   Street Kids
65-66   Combat Gang
67-68   Guardians
69-70   Street Fighters
71-72   Nihilists
73-74   Boosters
75-76   Nihilists
77-78   Skaters
79-80   Go-Gang
81-82   Policlub
83-84   Guardians
85-86   Go-Gang
87-88   Chromers
89-90   Policlub
91-92   Nihilists
93-94   Boosters
95-96   Pranksters
97-98   Chromers
99-100  Party Artistes

d100 Sphere of Influence
1-2     Deal in prohibited neural boosts, intellect stims, sakawa charms
3-4     Operate a stash house in the old Metro system and fence goods
5-6     Import, crack and distribute VR games and hong Kong action sims
7-8     Hack and tap electronic infrastructure, for a price
9-10    Will put on one hell of a party in exchange for hot information
11-12   Trade in counterfeit sportswear, tickets and fan merchandise
13-14   Supply banned pornographic SimStims and vid-chips
15-16   Sell Chiba-grade imported black market implants and upgrades
17-18   Prolific dumpster-divers and parts-hunters; trade and exchange
19-20   Premier suppliers of street-level artificial pheremones
21-22   Leader hires out her most neurologically damaged boys as muscle
23-24   Currently making a killing in the underground fighting scene
25-26   Bargain basement prices for spectacular acts of arson
27-28   Specialists in smash and grab jobs, for money and firearms
29-30   Own and operate a warehouse nightclub in the factory district
31-32   Digital surveillance and stalking, seamless manipulation of video
33-34   Happy to be hired as rooftop street guides and expert sneaks
35-36   Doctor common drugs, altering their composition and legality
37-38   Take protection money, cook drugs and provide bespoke curses
39-40   Work protection on a number of chip-hop bars and clubs
41-42   3D-print their own implanted weapons (fragile)
43-44   Several members are skilled AR coders
45-46   Make their money dealing in heavy weapons and stolen cars
47-48   Grow synthetic opium in hydroponic blisters and sell it on
49-50   Target small-fry fixers and gangers and steal their shit to sell on
51-52   Sell stolen fashions, counterfeits and cloned credit cards
53-54   Professional-level hits and heists, unfettered by rules of warfare
55-56   Promise them in-game bitcoins and they'll perform any 'quest'
57-58   Fat allowances and legal back-up allow extreme road race stunts
59-60   Smuggle Russian military hardware and protect 'their' hab stacks
61-62   Slave traffickers and suppliers of stolen consumer electronics
63-64   Suspected organ-leggers and kidnappers
65-66   Experts at depopulating hab stacks quickly and brutally
67-68   Brew their own alcohol, trade it for SCOP; do gig work for SCOP
69-70   Skin-traders and flesh peddlars, buy and sell pretty young things
71-72   Find and sell corpses or parts to the body banks
73-74   Self-styled free-company, market themselves as street condottieri
75-76   Fence and sell black market cybernetic limbs of dubious origin
77-78   Selling synthesized copies of virulent, manufactured hIVPlus strain
79-80   Will consider any job for new bikes or fuel; flaky, unpredictable
81-82   Frighteningly good propagandists and excellent rent-a-thugs
83-84   Paid to protect a number of local Christian agri-businesses
85-86   No-questions-asked bike courier service, as well as ride-by hits
87-88   Taken over a wrecking yard so they can just, ya know, wreck stuff
89-90   Minifacture their own flechette weapons and needleguns
91-92   Run an angst-soaked cloud forum, behind a secure pay wall
93-94   Hormone-farm captive young males to sell online
95-96   Blackmail and harass prominent civil servants and create fake news
97-98   Carjacking and auto theft, as well as elaborate respraying
99-100  Do a roaring trade in illegally downloaded, DrM-free music

d100 Relationship
1-2     Turf war with...
3-4     Steal from...
5-6     Merger with...
7-8     Rivalry with...
9-10    Employed by...
11-12   Preys on...
13-14   Despises...
15-16   Trades with...
17-18   Actively targets...
19-20   Protected by...
21-22   Jealous of...
23-24   Turf war with...
25-26   Betrayed by...
27-28   Wary of...
29-30   Monitored by...
31-32   Employs...
33-34   Trades with...
35-36   Owe money to...
37-38   Insulted MC of...
39-40   Supplied by...
41-42   Turf war with...
43-44   Allied to...
45-46   Despises...
47-48   Targeted by...
49-50   Protects...
51-52   Terrified of...
53-54   Amused by...
55-56   Humiliated by...
57-58   Threatened by...
59-60   Turf war with...
61-62   Works with...
63-64   Despises...
65-66   Trades with...
67-68   Tend to avoid...
69-70   Trades with...
71-72   Wary of...
73-74   Turf war with...
75-76   Make use of...
77-78   Rivalry with...
79-80   Tend to avoid...
81-82   In talks with...
83-84   Make use of...
85-86   Threatened by...
87-88   Owe money to...
89-90   Trades with...
91-92   Turf war with...
93-94   Want to destroy...
95-96   Wary of...
97-98   Buys from...
99-100  Allied to... (1-2)

d10 What Are They Up To? (Current Gang Activity)
1  Picking a fight with someone they don't like - store owner, passer by, hab resident
2  Marking the local area with gang tags - AR, spray paint, pens, animatic stickers
3  Shaking down the locals with threats and intimidation - for money, booze, sex
4  Raving to their favourite music/propaganda, extremely loudly
5  Getting wasted, or psyching themselves up before a fight or a raid
6  Facing down cops/security/another gang - as far as they can get without a fight
7  Participating in tests of skill or daring among themselves
8  Making a deliberate attempt at being visible, strengthening presence in the area
9  Engaged in their main biz, or negotiating employment with another party
10 Any combination of the above (roll again, twice)

NPC Gangbangers

d10 NPCs
1  Gang leader/Boss
2  Gang elder
3  Gang Juve/Noob
4  Gang Champion
5  Gang Scout
6  Gang leader's Main Squeeze
7  Gang leader's leftenant
8  Gang leader's Main rival In Gang
9  Gang's loose Cannon
10 Gang expert (steers gang's main biz)

d10 Other NPCs
1  Kid Wannabe
2  Loyal Gunman (ex-member)
3  Sheltered Fugitive
4  Gang Member's Kid
5  Former Gang Boss, Now Disgraced
